
2024/03/03 (10:50:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/03 (11:29:00) | ===> btop++ v.1.3.2
2024/03/03 (11:29:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/04 (13:03:24) | ===> btop++ v.1.3.2
2024/03/04 (13:03:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/04 (14:12:39) | ===> btop++ v.1.3.2
2024/03/04 (14:12:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/04 (14:40:10) | ===> btop++ v.1.3.2
2024/03/04 (14:40:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/05 (16:19:22) | ===> btop++ v.1.3.2
2024/03/05 (16:19:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/05 (16:20:54) | ===> btop++ v.1.3.2
2024/03/05 (16:20:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/05 (16:22:23) | ===> btop++ v.1.3.2
2024/03/05 (16:22:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/05 (16:43:06) | ===> btop++ v.1.3.2
2024/03/05 (16:43:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/05 (17:10:57) | ===> btop++ v.1.3.2
2024/03/05 (17:10:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (12:43:26) | ===> btop++ v.1.3.2
2024/03/06 (12:43:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (12:58:28) | ===> btop++ v.1.3.2
2024/03/06 (12:58:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (15:41:27) | ===> btop++ v.1.3.2
2024/03/06 (15:41:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (15:41:28) | ===> btop++ v.1.3.2
2024/03/06 (15:41:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (15:42:29) | ===> btop++ v.1.3.2
2024/03/06 (15:42:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (15:53:59) | ===> btop++ v.1.3.2
2024/03/06 (15:53:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (15:59:33) | ===> btop++ v.1.3.2
2024/03/06 (15:59:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (16:09:09) | ===> btop++ v.1.3.2
2024/03/06 (16:09:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (16:24:03) | ===> btop++ v.1.3.2
2024/03/06 (16:24:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (18:14:13) | ===> btop++ v.1.3.2
2024/03/06 (18:14:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (18:14:14) | ===> btop++ v.1.3.2
2024/03/06 (18:14:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (18:17:04) | ===> btop++ v.1.3.2
2024/03/06 (18:17:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (18:18:31) | ===> btop++ v.1.3.2
2024/03/06 (18:18:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/06 (18:18:31) | ===> btop++ v.1.3.2
2024/03/06 (18:18:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/07 (12:24:29) | ===> btop++ v.1.3.2
2024/03/07 (12:24:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/07 (17:00:50) | ===> btop++ v.1.3.2
2024/03/07 (17:00:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/07 (17:35:01) | ===> btop++ v.1.3.2
2024/03/07 (17:35:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/07 (17:35:20) | ===> btop++ v.1.3.2
2024/03/07 (17:35:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/11 (11:33:52) | ===> btop++ v.1.3.2
2024/03/11 (11:33:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/12 (10:22:14) | ===> btop++ v.1.3.2
2024/03/12 (10:22:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/13 (15:54:09) | ===> btop++ v.1.3.2
2024/03/13 (15:54:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/13 (15:54:09) | ===> btop++ v.1.3.2
2024/03/13 (15:54:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/14 (10:33:05) | ===> btop++ v.1.3.2
2024/03/14 (10:33:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/14 (10:37:15) | ===> btop++ v.1.3.2
2024/03/14 (10:37:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/14 (10:37:16) | ===> btop++ v.1.3.2
2024/03/14 (10:37:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/14 (17:08:50) | ===> btop++ v.1.3.2
2024/03/14 (17:08:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/14 (17:08:51) | ===> btop++ v.1.3.2
2024/03/14 (17:08:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/14 (17:09:15) | ===> btop++ v.1.3.2
2024/03/14 (17:09:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/14 (17:38:01) | ===> btop++ v.1.3.2
2024/03/14 (17:38:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/14 (18:09:31) | ===> btop++ v.1.3.2
2024/03/14 (18:09:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/14 (21:03:44) | ===> btop++ v.1.3.2
2024/03/14 (21:03:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
